PERIODO|ESTRATO|CANTIDAD
1802|1|388
1802|2|1869
1802|3|2528
1802|4|734
1802|5|245
1802|6|112
1803|1|416
1803|2|3014
1803|3|3676
1803|4|871
1803|5|349
1803|6|196
1804|1|416
1804|2|4500
1804|3|4410
1804|4|1312
1804|5|559
1804|6|266
1805|1|419
1805|2|7886
1805|3|4935
1805|4|1342
1805|5|667
1805|6|354
1806|1|338
1806|2|3335
1806|3|4021
1806|4|1131
1806|5|539
1806|6|273
1807|1|383
1807|2|5854
1807|3|4685
1807|4|1144
1807|5|446
1807|6|269
1808|1|420
1808|2|4599
1808|3|5290
1808|4|1311
1808|5|539
1808|6|341
1809|1|324
1809|2|3869
1809|3|4117
1809|4|1186
1809|5|473
1809|6|389
1810|1|673
1810|2|3988
1810|3|4622
1810|4|1320
1810|5|544
1810|6|379
1811|1|449
1811|2|3768
1811|3|4280
1811|4|1150
1811|5|419
1811|6|290
1812|1|536
1812|2|3766
1812|3|5057
1812|4|1192
1812|5|406
1812|6|241
1901|1|527
1901|2|5167
1901|3|6217
1901|4|1346
1901|5|490
1901|6|275
1902|1|685
1902|2|5793
1902|3|7591
1902|4|1300
1902|5|461
1902|6|235
1903|1|627
1903|2|6227
1903|3|5161
1903|4|1042
1903|5|398
1903|6|270
1904|1|1270
1904|2|5454
1904|3|7377
1904|4|1167
1904|5|393
1904|6|216
1905|1|960
1905|2|8540
1905|3|7838
1905|4|1345
1905|5|460
1905|6|296
1906|1|810
1906|2|6612
1906|3|6012
1906|4|1085
1906|5|424
1906|6|268
1907|1|857
1907|2|6279
1907|3|6633
1907|4|1447
1907|5|571
1907|6|278
1908|1|1150
1908|2|4273
1908|3|5834
1908|4|1243
1908|5|509
1908|6|248
1909|1|661
1909|2|5415
1909|3|6132
1909|4|1360
1909|5|537
1909|6|418
1910|1|1303
1910|2|7376
1910|3|7145
1910|4|1446
1910|5|584
1910|6|394
1911|1|1234
1911|2|5460
1911|3|4961
1911|4|1263
1911|5|442
1911|6|297
1912|1|1065
1912|2|4587
1912|3|4918
1912|4|1194
1912|5|419
1912|6|344
2001|1|979
2001|2|4881
2001|3|5074
2001|4|1423
2001|5|555
2001|6|357
2002|1|802
2002|2|4353
2002|3|4902
2002|4|1123
2002|5|456
2002|6|349
2003|1|593
2003|2|3408
2003|3|3639
2003|4|948
2003|5|330
2003|6|195
2004|1|298
2004|2|2094
2004|3|2386
2004|4|424
2004|5|184
2004|6|95
2005|1|417
2005|2|3308
2005|3|3499
2005|4|785
2005|5|331
2005|6|198
2006|1|506
2006|2|3971
2006|3|4832
2006|4|1272
2006|5|500
2006|6|276
2007|1|391
2007|2|4452
2007|3|5304
2007|4|1223
2007|5|487
2007|6|335
2008|1|432
2008|2|3675
2008|3|4703
2008|4|1123
2008|5|433
2008|6|314
2009|1|626
2009|2|4297
2009|3|5083
2009|4|1438
2009|5|586
2009|6|354
2010|1|565
2010|2|4057
2010|3|5431
2010|4|1368
2010|5|528
2010|6|353
2011|1|521
2011|2|3706
2011|3|4775
2011|4|1400
2011|5|483
2011|6|299
2012|1|479
2012|2|3274
2012|3|4431
2012|4|1186
2012|5|436
2012|6|272
2101|1|491
2101|2|3508
2101|3|4597
2101|4|1234
2101|5|445
2101|6|301
2102|1|531
2102|2|3512
2102|3|4840
2102|4|1282
2102|5|478
2102|6|363
2103|1|638
2103|2|4527
2103|3|5955
2103|4|1598
2103|5|586
2103|6|372
2104|1|527
2104|2|5098
2104|3|6062
2104|4|1180
2104|5|449
2104|6|304
2105|1|78
2105|2|749
2105|3|969
2105|4|186
2105|5|70
2105|6|32
